displayName,formattedAddress,types,websiteUri,internationalPhoneNumber,rating,googleMapsUri,location
Golden Corral Buffet & Grill,"2375 E Tremont Ave, Bronx, NY 10462, USA","['steak_house', 'banquet_hall', 'breakfast_restaurant', 'american_restaurant', 'meal_takeaway', 'restaurant', 'food', 'event_venue', 'point_of_interest', 'establishment']",https://www.goldencorral.com/locations/location-detail/2674/golden-corral-e-tremont-ave-/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=2674&utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=2674,+1 718-892-5200,4.5,https://maps.google.com/?cid=14549030659977463753,bronx_ny
Salsa Con Fuego,"2297 Cedar Ave, Bronx, NY 10468, USA","['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",http://www.salsaconfuego.com/,+1 718-561-6161,4.2,https://maps.google.com/?cid=3976813005307159670,bronx_ny
Ajo y Orégano,"621 Crescent Ave, Bronx, NY 10458, USA","['restaurant', 'food', 'point_of_interest', 'establishment']",http://ajoyoregano.com/,+1 347-918-9638,4.4,https://maps.google.com/?cid=11638383238529637033,bronx_ny
Bally's Golf Links at Ferry Point,"500 Hutchinson Riv Pkwy, Bronx, NY 10465, USA","['golf_course', 'athletic_field', 'restaurant', 'food', 'sports_complex', 'event_venue', 'sporting_goods_store', 'store', 'point_of_interest', 'establishment']",https://casinos.ballys.com/golf-links-ferry-point/,+1 718-414-1555,4.0,https://maps.google.com/?cid=10717058244817314299,bronx_ny
Ajo y Oregano,"1556 White Plains Rd, Bronx, NY 10462, USA","['restaurant', 'food', 'point_of_interest', 'establishment']",https://www.ajoyoregano.com/,+1 347-657-1201,4.1,https://maps.google.com/?cid=18240744571762077656,bronx_ny
Pine Restaurant,"1913 Bronxdale Ave, Bronx, NY 10462, USA","['italian_restaurant', 'banquet_hall', 'restaurant', 'bar', 'food', 'event_venue', 'point_of_interest', 'establishment']",http://fjpine.com/,+1 718-792-5956,4.5,https://maps.google.com/?cid=4639444869422135079,bronx_ny
Chick-fil-A,"76 W 225th St, Bronx, NY 10463, USA","['fast_food_restaurant', 'breakfast_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.chick-fil-a.com/locations/ny/marble-hill?utm_source=yext&utm_medium=link,+1 347-577-4910,4.4,https://maps.google.com/?cid=10457118411836316441,bronx_ny
Ketoland and Cafeteria Serie 54,"2867 Webster Ave, Bronx, NY 10458, USA","['restaurant', 'food', 'point_of_interest', 'establishment']",https://cafeteriaserie54.com/,+1 718-684-4743,3.6,https://maps.google.com/?cid=14661067564829708891,bronx_ny
Enzo's of Arthur Avenue,"2339 Arthur Ave, Bronx, NY 10458, USA","['italian_restaurant', 'restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",http://www.enzosofarthuravenue.com/,+1 718-733-4455,4.4,https://maps.google.com/?cid=17598341474255764312,bronx_ny
Mamasushi Restaurant,"3478 E Tremont Ave, Bronx, NY 10465, USA","['sushi_restaurant', 'japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://mamasushi.com/bronx,+1 718-684-8666,4.2,https://maps.google.com/?cid=4235207572724801160,bronx_ny
Casa Della Mozzarella,"604 E 187th St, Bronx, NY 10458, USA","['italian_restaurant', 'grocery_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",https://www.facebook.com/CasaDellaMozzarella/,+1 718-364-3867,4.8,https://maps.google.com/?cid=17096938367813269417,bronx_ny
Wendy's,"4040 Third Ave, Bronx, NY 10457, USA","['fast_food_restaurant', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://locations.wendys.com/united-states/ny/bronx/4040-3rd-ave?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,+1 718-299-5603,4.0,https://maps.google.com/?cid=5422688706424544952,bronx_ny
KPOT Korean BBQ & Hot Pot,"200 Baychester Ave 207A (2nd Floor, Bronx, NY 10475, USA","['korean_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://thekpot.com/,+1 718-684-9172,4.6,https://maps.google.com/?cid=5732065551269492610,bronx_ny
Zero Otto Nove,"2357 Arthur Ave, Bronx, NY 10458, USA","['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.zeroottonove.com/locations/bronx,+1 718-220-1027,4.5,https://maps.google.com/?cid=17524961500969269399,bronx_ny
Khalil Biryani House,"1457 Unionport Rd, Bronx, NY 10462, USA","['restaurant', 'food', 'point_of_interest', 'establishment']",https://khalilsfood.com/khalil-biryani-house-bronx/,+1 718-409-6840,3.4,https://maps.google.com/?cid=7265301156901555969,bronx_ny
Made in Puerto Rico Latin Cuisine Bronx NY,"3363 E Tremont Ave, Bronx, NY 10461, USA","['night_club', 'american_restaurant', 'restaurant', 'bar', 'food', 'event_venue', 'point_of_interest', 'establishment']",http://www.madeinpuertoricony.com/,+1 718-684-1309,4.3,https://maps.google.com/?cid=7015451578576281408,bronx_ny
Dallas BBQ Fordham Road,"281 W Fordham Rd, Bronx, NY 10468, USA","['barbecue_restaurant', 'restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",https://dallasbbq.com/,+1 718-220-2822,4.1,https://maps.google.com/?cid=13420217525422444146,bronx_ny
Al-Aqsa Restaurant | Halal Food in Bronx,"2107 Starling Ave, Bronx, NY 10462, USA","['indian_restaurant', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://bronx.alaqsarestaurant.com/,+1 718-904-7061,4.0,https://maps.google.com/?cid=9374961163135422071,bronx_ny
Dallas BBQ,"2160 Bartow Ave, Bronx, NY 10475, USA","['barbecue_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.dallasbbq.com/co-op-city,+1 718-320-8800,4.0,https://maps.google.com/?cid=6829018690051862872,bronx_ny
Havana Café,"3151 E Tremont Ave, Bronx, NY 10461, USA","['restaurant', 'food', 'point_of_interest', 'establishment']",http://havanacafe.info/,+1 718-518-1800,4.4,https://maps.google.com/?cid=17255309341639111968,bronx_ny
Time Out Market New York,"55 Water St, Brooklyn, NY 11201, USA","['restaurant', 'banquet_hall', 'market', 'bar', 'event_venue', 'food', 'point_of_interest', 'establishment']",https://www.timeoutmarket.com/newyork/,+1 917-810-4855,4.5,https://maps.google.com/?cid=15282526839072256612,brooklyn_ny
Peter Luger Steak House,"178 Broadway, Brooklyn, NY 11211, USA","['steak_house', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://peterluger.com/,+1 718-387-7400,4.4,https://maps.google.com/?cid=5087410620311667698,brooklyn_ny
Alamo Drafthouse Cinema Brooklyn,"445 Albee Square W 4th floor, Brooklyn, NY 11201, USA","['movie_theater', 'performing_arts_theater', 'bar', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://drafthouse.com/nyc/theater/downtown-brooklyn,+1 718-513-2547,4.6,https://maps.google.com/?cid=9147381282032936456,brooklyn_ny
L'Industrie Pizzeria,"254 S 2nd St, Brooklyn, NY 11211, USA","['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.lindustriebk.com/,+1 718-599-0002,4.7,https://maps.google.com/?cid=10791742978073970501,brooklyn_ny
Public Records,"233 Butler St, Brooklyn, NY 11217, USA","['night_club', 'cafe', 'bar', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://publicrecords.nyc/,+1 347-529-4869,4.4,https://maps.google.com/?cid=18122465063414719688,brooklyn_ny
Win Son Bakery,"164 Graham Ave, Brooklyn, NY 11206, USA","['bakery', 'breakfast_restaurant', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",http://winsonbrooklyn.com/,+1 917-909-1725,4.5,https://maps.google.com/?cid=9746463236990346255,brooklyn_ny
Nowadays,"56-06 Cooper Ave, Queens, NY 11385, USA","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://nowadays.nyc/,+1 347-523-8535,4.4,https://maps.google.com/?cid=1824256353931195675,brooklyn_ny
Lucali,"575 Henry St, Brooklyn, NY 11231, USA","['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.lucali.com/,+1 718-858-4086,4.3,https://maps.google.com/?cid=17481342074422520503,brooklyn_ny
Dekalb Market Hall,"445 Albee Square W, Brooklyn, NY 11201, USA","['market', 'fast_food_restaurant', 'tourist_attraction', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://dekalbmarkethall.com/,+1 929-359-6555,4.6,https://maps.google.com/?cid=2065551473612637824,brooklyn_ny
Rolo’s,"853 Onderdonk Ave, Queens, NY 11385, USA","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.rolosnyc.com/,+1 718-417-6567,4.5,https://maps.google.com/?cid=14239410717641982050,brooklyn_ny
Brooklyn Bowl,"61 Wythe Ave, Brooklyn, NY 11249, USA","['bowling_alley', 'sports_complex', 'bar', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.brooklynbowl.com/brooklyn,+1 718-963-3369,4.5,https://maps.google.com/?cid=6061785342615099847,brooklyn_ny
Sunday In Brooklyn,"348 Wythe Ave, Brooklyn, NY 11249, USA","['american_restaurant', 'breakfast_restaurant', 'brunch_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://sundayinbrooklyn.com/,+1 347-222-6722,4.4,https://maps.google.com/?cid=16752255414473895549,brooklyn_ny
Misi,"329 Kent Ave, Brooklyn, NY 11249, USA","['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.misinewyork.com/,+1 347-566-3262,4.4,https://maps.google.com/?cid=8495836090338517267,brooklyn_ny
Junior's Restaurant & Bakery,"386 Flatbush Ave Ext, Brooklyn, NY 11201, USA","['american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.juniorscheesecake.com/,+1 718-852-5257,4.4,https://maps.google.com/?cid=16853141080792952473,brooklyn_ny
Grimaldi's Pizzeria,"1 Front St, Brooklyn, NY 11201, USA","['pizza_restaurant', 'italian_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.grimaldispizzeria.com/locations/1-front-street-brooklyn/,+1 718-858-4300,4.2,https://maps.google.com/?cid=10195951266718037238,brooklyn_ny
Roberta's,"261 Moore St, Brooklyn, NY 11206, USA","['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.robertaspizza.com/,+1 718-417-1118,4.5,https://maps.google.com/?cid=1635123141660970877,brooklyn_ny
Nitehawk Cinema,"136 Metropolitan Ave, Brooklyn, NY 11249, USA","['movie_theater', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.nitehawkcinema.com/,+1 646-963-9288,4.6,https://maps.google.com/?cid=10484329052287345939,brooklyn_ny
KPOT Korean BBQ & Hot Pot,"430 Albee Square W, Brooklyn, NY 11201, USA","['korean_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://thekpot.com/,+1 929-397-0031,4.5,https://maps.google.com/?cid=18165433011032470073,brooklyn_ny
Cecconi's,"55 Water St, Brooklyn, NY 11201, USA","['restaurant', 'food', 'point_of_interest', 'establishment']",http://cecconisdumbo.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,+1 718-650-3900,4.1,https://maps.google.com/?cid=4068718400521403977,brooklyn_ny
Chick-fil-A,"166 Flatbush Ave, Brooklyn, NY 11217, USA","['fast_food_restaurant', 'breakfast_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.chick-fil-a.com/locations/ny/flatbush-and-atlantic-in-line?utm_source=yext&utm_medium=link,+1 917-810-0455,4.3,https://maps.google.com/?cid=14135386792082099574,brooklyn_ny
Penn Station,"461 W 34th St., New York, NY 10001, USA","['restaurant', 'point_of_interest', 'food', 'establishment']",,,4.2,https://maps.google.com/?cid=4291405294678913872,manhattan_ny
Joe's Pizza Broadway,"1435 Broadway, New York, NY 10018, USA","['pizza_restaurant', 'meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",http://joespizzanyc.com/,+1 646-559-4878,4.5,https://maps.google.com/?cid=4280570365733019477,manhattan_ny
Ellen's Stardust Diner,"1650 Broadway, New York, NY 10019, USA","['american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://www.ellensstardustdiner.com/,+1 212-956-5151,4.4,https://maps.google.com/?cid=2198151489620267995,manhattan_ny
LOS TACOS No.1,"229 W 43rd St, New York, NY 10036, USA","['mexican_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",http://www.lostacos1.com/,,4.8,https://maps.google.com/?cid=5618924015427954654,manhattan_ny
Carmine's,"200 W 44th St, New York, NY 10036, USA","['italian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://www.carminesnyc.com/locations/times-square,+1 212-221-3800,4.5,https://maps.google.com/?cid=1155783591561813087,manhattan_ny
Eataly NYC Flatiron,"200 5th Ave, New York, NY 10010, USA","['market', 'pizza_restaurant', 'cafe', 'liquor_store', 'italian_restaurant', 'grocery_store', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",https://www.eataly.com/us_en/stores/nyc-flatiron/,+1 212-229-2560,4.5,https://maps.google.com/?cid=11379484203744188786,manhattan_ny
Mitsuwa Marketplace - New Jersey,"595 River Rd, Edgewater, NJ 07020, USA","['supermarket', 'grocery_store', 'japanese_restaurant', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",https://mitsuwa.com/nj,+1 201-941-9113,4.6,https://maps.google.com/?cid=11330543270440167214,manhattan_ny
Hotel Riu Plaza Manhattan Times Square,"145 W 47th St, New York, NY 10036, USA","['hotel', 'breakfast_restaurant', 'gym', 'lodging', 'bar', 'health', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://www.riu.com/en/hotel/usa/new-york/hotel-riu-plaza-manhattan-times-square/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=ZMH,+1 212-706-3170,4.6,https://maps.google.com/?cid=510024492934087713,manhattan_ny
YOTEL New York Times Square,"570 Tenth Avenue, W 42nd St At, New York, NY 10036, USA","['hotel', 'lodging', 'bar', 'event_venue', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://www.yotel.com/en/hotels/yotel-new-york?utm_source=Google&utm_medium=Yext_YONYC,+1 646-449-7700,4.0,https://maps.google.com/?cid=696628097211612938,manhattan_ny
Junior's Restaurant & Bakery,"1515 Broadway @, W 45th St, New York, NY 10036, USA","['american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://www.juniorscheesecake.com/blog/restaurants/times-square/,+1 212-302-2000,4.4,https://maps.google.com/?cid=10295567639142086033,manhattan_ny
Adel's Famous Halal Food,"1221 6th Ave, New York, NY 10020, USA","['restaurant', 'point_of_interest', 'food', 'establishment']",https://adelsfamoushalalfood.com/,+1 917-497-2317,4.3,https://maps.google.com/?cid=10237056674453852351,manhattan_ny
La Grande Boucherie,"145 W 53rd St, New York, NY 10019, USA","['french_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://www.boucherieus.com/,+1 212-510-7714,4.5,https://maps.google.com/?cid=3122996375818853997,manhattan_ny
Ess-a-Bagel,"831 3rd Ave, New York, NY 10022, USA","['brunch_restaurant', 'sandwich_shop', 'breakfast_restaurant', 'bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",http://www.ess-a-bagel.com/,+1 212-980-1010,4.1,https://maps.google.com/?cid=5939257602523573008,manhattan_ny
Tavern On the Green,"W 67th St, New York, NY 10023, USA","['american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",http://tavernonthegreen.com/menu,+1 212-877-8684,4.4,https://maps.google.com/?cid=16692603604230908421,manhattan_ny
Gallaghers Steakhouse,"228 W 52nd St, New York, NY 10019, USA","['steak_house', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",http://gallaghersnysteakhouse.com/,+1 212-586-5000,4.6,https://maps.google.com/?cid=8970052207722635347,manhattan_ny
Olive Garden Italian Restaurant,"2 Times Sq, New York, NY 10036, USA","['italian_restaurant', 'mediterranean_restaurant', 'seafood_restaurant', 'meal_takeaway', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://www.olivegarden.com/locations/ny/new-york/nyc-times-square/1451?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:new-york-ny-1451_pl:locurl_rd:1335,+1 212-333-3254,4.1,https://maps.google.com/?cid=14074393838397746622,manhattan_ny
Keens Steakhouse,"72 W 36th St., New York, NY 10018, USA","['steak_house', 'restaurant', 'point_of_interest', 'food', 'establishment']",http://www.keens.com/,+1 212-947-3636,4.6,https://maps.google.com/?cid=12150073089411344844,manhattan_ny
Best Bagel & Coffee,"225 W 35th St A, New York, NY 10001, USA","['coffee_shop', 'breakfast_restaurant', 'cafe', 'bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",http://www.bestbagelandcoffee.com/,+1 212-564-4409,4.6,https://maps.google.com/?cid=15256782802983419810,manhattan_ny
Cho Dang Gol,"55 W 35th St, New York, NY 10001, USA","['korean_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://chodanggolnyc.com/,,4.5,https://maps.google.com/?cid=14931410923550432298,manhattan_ny
Ichiran,"132 W 31st St, New York, NY 10001, USA","['ramen_restaurant', 'japanese_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://www.ichiranusa.com/location/ichiran-midtown/,+1 212-465-0701,4.5,https://maps.google.com/?cid=18443584088616377830,manhattan_ny
The Shops at Skyview,"40-24 College Point Blvd, Queens, NY 11354, USA","['shopping_mall', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://theshopsatskyviewny.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,+1 718-460-2000,4.3,https://maps.google.com/?cid=16561913548943561822,queens_ny
Haidilao Huoguo Flushing,"138-23 39th Ave, Queens, NY 11354, USA","['restaurant', 'food', 'point_of_interest', 'establishment']",https://www.haidilao-inc.com/us,+1 917-231-8888,4.9,https://maps.google.com/?cid=15380631451070698915,queens_ny
Chongqing Lao Zao 重慶老灶,"37-04 Prince St, Flushing, NY 11354, USA","['chinese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.chongqinglaozao.com/,+1 917-563-7171,4.5,https://maps.google.com/?cid=10473503338668131831,queens_ny
Nan Xiang Soup Dumplings - Flushing,"39-16 Prince St #104, Queens, NY 11354, USA","['chinese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.nanxiangxiaolongbao.com/,+1 718-321-3838,4.5,https://maps.google.com/?cid=2643412766659077252,queens_ny
Asian Jewels,"133-30 39th Ave, Queens, NY 11354, USA","['chinese_restaurant', 'seafood_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.asianjewelsny.com/,+1 718-359-8600,4.2,https://maps.google.com/?cid=8180323147323943950,queens_ny
Spring Shabu-Shabu,"136-20 38th Ave 2nd floor, Queens, NY 11354, USA","['japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.springshabu.com/,+1 718-395-8076,4.5,https://maps.google.com/?cid=4039161711377105623,queens_ny
Shanghai You Garden 上海豫园,"135-33 40th Rd, Queens, NY 11354, USA","['chinese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.shanghaiyougardennyc.com/,+1 718-886-2286,4.3,https://maps.google.com/?cid=4760850291251534227,queens_ny
New Lake Pavilion,"6015 Main St, Queens, NY 11367, USA","['chinese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://m.facebook.com/LakePavilion/,+1 718-886-6693,3.9,https://maps.google.com/?cid=234415153449713163,queens_ny
New York Food Court,"133-35 Roosevelt Ave, Queens, NY 11354, USA","['restaurant', 'food', 'point_of_interest', 'establishment']",http://www.nycfoodcourt.com/,+1 516-689-8878,4.2,https://maps.google.com/?cid=3710247276914171142,queens_ny
Izakaya Nana,"141-26 Northern Blvd, Queens, NY 11354, USA","['japanese_restaurant', 'sushi_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.izakayanana.com/,+1 718-269-6866,4.5,https://maps.google.com/?cid=1957393390541179153,queens_ny
East Buffet,"4207 Main St, Queens, NY 11355, USA","['chinese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://eastbuffet.com/,,3.6,https://maps.google.com/?cid=9849470993280003774,queens_ny
Hindu Temple Canteen,"143-09 Holly Ave, Queens, NY 11355, USA","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://canteen.nyganeshtemple.org/,+1 718-460-8493,4.6,https://maps.google.com/?cid=13770071395835978905,queens_ny
Hooters of Fresh Meadows,"61-09 190th St, Fresh Meadows, NY 11365, USA","['american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.hooters.com/,+1 718-454-2800,4.0,https://maps.google.com/?cid=580434225345518901,queens_ny
Witch Topokki,"146-13 Northern Blvd, Queens, NY 11354, USA","['korean_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://witchtopokki.com/,+1 718-799-0977,4.8,https://maps.google.com/?cid=210728296225708742,queens_ny
